grid_id,minx,miny,maxx,maxy,total_count
2416-87-00-20,116.7,20.683333333333,116.71,20.691666666667,1
2416-87-00-21,116.71,20.683333333333,116.72,20.691666666667,6
2416-87-00-30,116.7,20.691666666667,116.71,20.7,13
2416-87-00-31,116.71,20.691666666667,116.72,20.7,13
2416-87-00-33,116.73,20.691666666667,116.74,20.7,15
2416-87-00-41,116.71,20.7,116.72,20.708333333333,4
2416-87-00-42,116.72,20.7,116.73,20.708333333333,7
2416-87-10-02,116.72,20.708333333333,116.73,20.716666666667,7
2517-64-10-03,117.43,21.375,117.44,21.383333333333,1
2517-64-10-20,117.4,21.391666666667,117.41,21.4,6
2517-64-10-23,117.43,21.391666666667,117.44,21.4,2
2518-15-11-24,118.59,20.975,118.6,20.983333333333,1
2519-17-10-34,119.74,20.983333333333,119.75,20.991666666667,1
2520-17-11-14,120.79,20.966666666667,120.8,20.975,1
2520-37-10-10,120.7,21.133333333333,120.71,21.141666666667,1
2520-38-00-41,120.81,21.116666666667,120.82,21.125,1
2520-49-10-21,120.91,21.225,120.92,21.233333333333,1
2520-87-00-04,120.74,21.5,120.75,21.508333333333,1
2521-20-00-21,121.01,21.016666666667,121.02,21.025,1
2521-25-11-43,121.58,21.075,121.59,21.083333333333,1
2521-63-00-20,121.3,21.35,121.31,21.358333333333,1
2620-02-10-21,120.21,21.725,120.22,21.733333333333,1
2620-27-10-20,120.7,21.891666666667,120.71,21.9,3
2620-28-10-03,120.83,21.875,120.84,21.883333333333,1
2620-28-10-14,120.84,21.883333333333,120.85,21.891666666667,1
2620-28-10-24,120.84,21.891666666667,120.85,21.9,7
2620-28-10-34,120.84,21.9,120.85,21.908333333333,15
2620-28-10-41,120.81,21.908333333333,120.82,21.916666666667,1
2620-28-10-43,120.83,21.908333333333,120.84,21.916666666667,5
2620-28-10-44,120.84,21.908333333333,120.85,21.916666666667,8
2620-28-11-11,120.86,21.883333333333,120.87,21.891666666667,1
2620-28-11-20,120.85,21.891666666667,120.86,21.9,6
2620-28-11-21,120.86,21.891666666667,120.87,21.9,9
2620-28-11-30,120.85,21.9,120.86,21.908333333333,15
2620-28-11-31,120.86,21.9,120.87,21.908333333333,5
2620-28-11-40,120.85,21.908333333333,120.86,21.916666666667,5
2620-37-00-01,120.71,21.916666666667,120.72,21.925,4
2620-37-00-02,120.72,21.916666666667,120.73,21.925,2
2620-37-00-03,120.73,21.916666666667,120.74,21.925,9
2620-37-00-12,120.72,21.925,120.73,21.933333333333,6
2620-37-00-13,120.73,21.925,120.74,21.933333333333,3
2620-37-00-14,120.74,21.925,120.75,21.933333333333,6
2620-37-00-20,120.7,21.933333333333,120.71,21.941666666667,3
2620-37-00-21,120.71,21.933333333333,120.72,21.941666666667,3
2620-37-00-22,120.72,21.933333333333,120.73,21.941666666667,2
2620-37-00-23,120.73,21.933333333333,120.74,21.941666666667,2
2620-37-00-24,120.74,21.933333333333,120.75,21.941666666667,2
2620-37-00-30,120.7,21.941666666667,120.71,21.95,1
2620-37-00-31,120.71,21.941666666667,120.72,21.95,4
2620-37-00-32,120.72,21.941666666667,120.73,21.95,3
2620-37-00-33,120.73,21.941666666667,120.74,21.95,2
2620-37-00-34,120.74,21.941666666667,120.75,21.95,4
2620-37-00-41,120.71,21.95,120.72,21.958333333333,2
2620-37-00-42,120.72,21.95,120.73,21.958333333333,3
2620-37-00-43,120.73,21.95,120.74,21.958333333333,2
2620-37-00-44,120.74,21.95,120.75,21.958333333333,1
2620-37-01-14,120.79,21.925,120.8,21.933333333333,1
