grid_id,grid_minx,grid_miny,grid_maxx,grid_maxy,物種名,taxon_name_tw,國內紅皮書評估類別,unique_grid_name
2720-72-01-24,120.29,23.1,120.3,23.108333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-24,120.29,23.1,120.3,23.108333333333,鳥類,董雞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,黑腹濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,紅胸濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,水雉,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-42,120.62,24.2,120.63,24.208333333333,被子植物,三葉埔姜,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,被子植物,鐵色,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,被子植物,臺灣火刺木,"易危（VU, Vulnerable）",晶圓十五廠
2920-79-01-04,120.99,24.75,121.0,24.758333333333,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",全球研發中心
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,鴛鴦,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,小水鴨,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,哺乳類,石虎,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,魚類,長脂擬鱨,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,魚類,臺灣間爬岩鰍,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
